rr_additive_index,percent_muslim_arda,kosovo_recognition_dummy,belgrad_distance,dem2007,gdppc2007,regnum,ethnic_diversity_alesina,usfdigdp19901999_modified,NATO2007,percent_albanian,socialism,Griffiths,distance1000,percent_muslim25
14.8,86.41,1,2950,0,34723.801,7,0.6604,0.001581917,1,0.00E+00,0,0,2.95,3.4564001
10.6,69.63,0,4321,1,522.525,5,0.6752,0.0010526,1,0.00E+00,0,0,4.321,2.7851999
15.8,0.1,0,8074,0,531.667,10,0.5139,-0.000777738,1,0.00E+00,1,0,8.074,0.004
13.9,58.05,0,1781,0,5710.78,7,0.1314,0.001019614,1,0.00E+00,0,0,1.781,2.322
0,0,0,8151,0,764.354,6,0.255,0.00141862,1,0.00E+00,0,0,8.151,0
6.2,0.25,1,1360,1,8699.39,5,0.5867,0.001251217,2,0.00E+00,0,0,1.36,0.01
5.9,16.04,1,5212,1,195.426,6,0.9084,1.079462528,1,0.00E+00,0,0,5.212,0.6416
12.5,96.63,0,1459,0,8542.17,7,0.792,0.0013714,1,0.00E+00,1,0,1.459,3.8651999
0.7,6.28,1,918,1,116314,4,0.5726,0.135756403,1,0.00E+00,0,0,0.918,0.2512
7.2,0.19,1,1167,1,9110.63,5,0.3223,0.002381733,2,0.00E+00,0,0,1.167,0.0076
0.2,1.01,1,1254,1,87716.703,4,0.5302,0.309252977,2,1.13E+00,0,0,1.254,0.0404
2,1.98,0,7440,1,290.221,6,0.8791,0.0011111,1,0.00E+00,0,0,7.44,0.0792
3.4,13.19,1,6493,1,224.496,6,0.6744,0.006751113,1,0.00E+00,0,0,6.493,0.5276
16.6,56.6,1,9063,0,6007.9,10,0.588,0.042479411,1,0.00E+00,0,0,9.063,2.2639999
15.8,98.44,1,6842,0,4256.91,8,0.6258189,0.00087865,1,0.00E+00,0,0,6.842,3.9376001
2,86.77,0,4477,1,472.119,6,0.6906,0.01424928,1,0.00E+00,0,0,4.477,3.4707999
0,0.25,1,1045,1,15585.9,4,0.0414,0.00414552,1,0.00E+00,0,0,1.045,0.01
12.6,99.1,1,4462,1,792.348,6,0.615,-0.00085975,1,0.00E+00,0,0,4.462,3.9639999
5.5,16.85,0,8065,1,5487.57,6,0.4634,0.007275089,1,0.00E+00,0,0,8.065,0.674
9.3,0,0,10658,1,8301.82,2,0.5418,0.028686309,1,0.00E+00,0,0,10.658,0
7.8,0.45,1,1048,1,147141,4,0.6838,0.00842115,1,0.00E+00,0,0,1.048,0.018
10.4,4.98,0,6373,1,1163.74,9,0.3682,-0.00014205,1,0.00E+00,0,0,6.373,0.1992
10.3,0.46,0,725,1,902.235,5,0.5535,0.0004762,1,3.38E-02,0,1,0.725,0.0184
9.040526,25.35111,1,209,0,4392.34,5,0.3845621,0.0003955,1,4.93E+00,0,0,0.209,1.0140442
14.3,98.86,0,2652,0,2116.01,7,0.4841,0.00219427,1,0.00E+00,0,1,2.652,3.9544
1.9,16.62,0,7892,0,338.44,6,0.6932,0.000762467,1,0.00E+00,0,0,7.892,0.6648
10.1,88.07,1,4170,0,13550.8,7,0.4373,0.004913063,1,0.00E+00,0,0,4.17,3.5228
1,0.24,0,7353,0,3937.49,6,0.6329,0.000154189,1,0.00E+00,0,1,7.353,0.0096
12.8,4.23,0,5993,0,334.894,8,0.6632,0.0006154,1,0.00E+00,0,0,5.993,0.1692
4.4,6.16,1,1456,1,41877.398,4,0.1054,0.093556613,2,7.45E-02,0,0,1.456,0.2464
6.3,0,1,15573,1,2047.99,11,0.0413,0.056365933,1,0.00E+00,0,0,15.573,0
1.4,0.8,1,17883,1,28352.4,11,0.3969,0.055621389,1,3.71E-01,0,1,17.883,0.032
1.7,0,0,10363,1,1236.03,2,0.4844,0.023852199,1,0.00E+00,0,0,10.363,0
5.7,92.88,1,3865,1,261.74,6,0.6518,1.60444E-05,1,0.00E+00,0,0,3.865,3.7151999
9.9,45.4,1,4545,1,881.591,6,0.8505,0.01065442,1,0.00E+00,0,0,4.545,1.8160001
3.5,2.95,1,1797,1,67804.5,4,0.0586,0.02229828,2,3.25E-01,0,0,1.797,0.118
0,0,1,12931,1,2324.52,11,0.7005,0.121739097,1,0.00E+00,0,0,12.931,0
0,0,1,13258,1,2769.32,11,0.0603,0.478851914,1,0.00E+00,0,0,13.258,0
2.6,0,1,11276,1,10164.1,11,0.4312,0.02916665,1,0.00E+00,0,0,11.276,0
18.5,96.16,0,4638,0,743.53,8,0.7098,0.00524942,1,0.00E+00,0,1,4.638,3.8464001
1.4,0.7,1,10093,1,5389.93,2,0.5528,1.627792716,1,0.00E+00,0,0,10.093,0.028
1.3,0,0,13593,1,842.547,11,0.2718,0.032610539,1,0.00E+00,0,1,13.593,0
2.4,0,0,11020,1,1575.58,3,0.1689,0.01368274,1,0.00E+00,0,0,11.02,0
2.8,0,1,11522,1,3286.99,3,0.6566,0.02506545,1,0.00E+00,0,0,11.522,0
5.2,6.58,0,9733,1,1301.22,10,0.2385,0.036515091,1,1.74E-03,0,1,9.733,0.2632
